E_keV,hp_0_Sv/Gy,hp_15,hp_30,hp_45,hp_60,hp_75,hp_90,hp_180,hp_ROT,hp_ISO,hp_SS-ISO,hp_IS-ISO
5.0,0.000436,0.000458,0.000455,0.000423,0.000377,0.000306,0.000224,0.000435,0.000374,0.000339,0.000342,0.000333
6.0,0.00078,0.000841,0.000851,0.000804,0.000712,0.00056,0.00039,0.000747,0.000662,0.000605,0.000615,0.00059
7.0,0.00145,0.00157,0.00156,0.00145,0.00127,0.000974,0.000637,0.00115,0.00112,0.00102,0.00104,0.000989
8.0,0.00284,0.00296,0.00285,0.00257,0.00218,0.00164,0.00102,0.00159,0.00184,0.00164,0.00169,0.00158
9.0,0.00531,0.00539,0.00501,0.00439,0.00363,0.00266,0.0016,0.00202,0.00296,0.00256,0.00266,0.00245
10.0,0.00926,0.00907,0.00828,0.0071,0.00574,0.00413,0.00251,0.00249,0.00455,0.00389,0.00407,0.00372
12.0,0.0209,0.0205,0.0187,0.0158,0.0124,0.0088,0.00531,0.00323,0.00936,0.00787,0.00809,0.00747
13.0,0.0287,0.0283,0.0258,0.0219,0.0171,0.012,0.00732,0.00367,0.0126,0.0106,0.0108,0.0101
15.0,0.0499,0.0481,0.0444,0.038,0.0297,0.0205,0.0129,0.00496,0.0213,0.0179,0.0185,0.0174
17.0,0.0756,0.0749,0.0697,0.0602,0.0474,0.0323,0.02,0.00731,0.0328,0.0272,0.0274,0.0264
20.0,0.134,0.13,0.122,0.106,0.0845,0.058,0.0364,0.0155,0.0587,0.0483,0.0488,0.0476
25.0,0.26,0.256,0.241,0.214,0.173,0.122,0.0745,0.0534,0.123,0.0981,0.0992,0.0957
30.0,0.432,0.425,0.401,0.354,0.289,0.21,0.137,0.131,0.22,0.176,0.179,0.173
40.0,0.816,0.792,0.755,0.675,0.565,0.428,0.293,0.38,0.464,0.368,0.378,0.359
50.0,1.14,1.11,1.07,0.95,0.818,0.618,0.449,0.647,0.7,0.557,0.57,0.545
60.0,1.35,1.32,1.26,1.13,0.972,0.759,0.559,0.841,0.858,0.685,0.706,0.672
70.0,1.43,1.41,1.34,1.21,1.04,0.827,0.618,0.949,0.949,0.757,0.774,0.727
80.0,1.44,1.42,1.36,1.22,1.07,0.856,0.642,0.985,0.968,0.776,0.802,0.756
100.0,1.39,1.38,1.3,1.21,1.06,0.857,0.645,0.977,0.959,0.77,0.794,0.751
150.0,1.25,1.24,1.18,1.09,0.975,0.813,0.615,0.906,0.883,0.716,0.742,0.689
200.0,1.17,1.16,1.11,1.04,0.935,0.786,0.604,0.87,0.843,0.688,0.712,0.663
300.0,1.09,1.09,1.05,0.987,0.896,0.771,0.606,0.839,0.81,0.674,0.697,0.651
400.0,1.06,1.05,1.02,0.962,0.887,0.765,0.621,0.835,0.809,0.677,0.698,0.655
500.0,1.04,1.03,1.01,0.953,0.89,0.774,0.635,0.836,0.807,0.685,0.702,0.668
600.0,1.02,1.02,1.0,0.947,0.886,0.777,0.647,0.84,0.812,0.693,0.71,0.675
800.0,1.01,1.01,0.985,0.951,0.892,0.791,0.671,0.848,0.821,0.708,0.729,0.686
1000.0,1.0,1.0,0.984,0.95,0.898,0.797,0.695,0.857,0.832,0.725,0.741,0.71
1500.0,0.996,0.994,0.982,0.953,0.911,0.84,0.739,0.88,0.852,0.76,0.771,0.746
2000.0,0.99,0.991,0.98,0.953,0.917,0.857,0.769,0.896,0.868,0.782,0.798,0.764
3000.0,0.977,0.983,0.967,0.955,0.935,0.871,0.805,0.915,0.887,0.81,0.824,0.796
4000.0,0.964,0.964,0.955,0.951,0.931,0.876,0.825,0.923,0.898,0.824,0.84,0.807
5000.0,0.945,0.943,0.94,0.934,0.932,0.88,0.832,0.931,0.896,0.832,0.846,0.818
6000.0,0.928,0.932,0.922,0.918,0.916,0.875,0.835,0.928,0.891,0.835,0.847,0.823
8000.0,0.884,0.892,0.89,0.89,0.893,0.861,0.832,0.924,0.874,0.825,0.84,0.81
10000.0,0.85,0.854,0.851,0.854,0.865,0.846,0.823,0.916,0.858,0.816,0.825,0.8
15000.0,0.757,0.766,0.765,0.774,0.792,0.79,0.789,0.882,0.804,0.778,0.777,0.759
20000.0,0.679,0.683,0.69,0.704,0.726,0.744,0.757,0.842,0.758,0.745,0.747,0.743
30000.0,0.553,0.557,0.564,0.588,0.62,0.654,0.695,0.748,0.671,0.672,0.672,0.672
40000.0,0.463,0.462,0.478,0.502,0.545,0.594,0.644,0.662,0.6,0.61,0.607,0.613
50000.0,0.395,0.395,0.408,0.437,0.479,0.535,0.596,0.588,0.539,0.555,0.552,0.559
