E_keV,dskin_pillar_0_pSv.cm2,dskin_pillar_15,dskin_pillar_30,dskin_pillar_45,dskin_pillar_60,dskin_pillar_75,dskin_pillar_90,dskin_pillar_105,dskin_pillar_120,dskin_pillar_135,dskin_pillar_150,dskin_pillar_165,dskin_pillar_180,dskin_pillar_ROT
2.0,2.54,2.28,1.63,0.908,0.363,0.0856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.545
3.0,19.7,18.7,15.8,11.4,6.66,2.91,0.739,0.047,0.0,0.0,0.0,0.0,0.0,5.51
4.0,25.6,24.9,22.9,19.0,13.2,7.35,2.84,0.454,0.0,0.0,0.0,0.0,0.0,8.62
5.0,22.4,22.1,21.0,18.8,14.5,9.19,4.36,1.09,0.0193,0.0,0.0,0.0,0.0,8.52
7.0,13.9,13.9,13.6,13.0,11.4,8.19,4.71,1.77,0.172,0.0,0.0,0.0,0.0,6.14
10.0,7.21,7.2,7.15,7.04,6.64,5.39,3.62,1.83,0.498,0.0545,0.0,0.0,0.0,3.59
15.0,3.21,3.21,3.2,3.18,3.12,2.84,2.3,1.61,0.94,0.5,0.293,0.205,0.18,1.92
20.0,1.81,1.81,1.8,1.79,1.77,1.69,1.5,1.24,0.951,0.719,0.579,0.505,0.481,1.29
30.0,0.816,0.815,0.813,0.81,0.804,0.784,0.742,0.677,0.602,0.535,0.487,0.459,0.45,0.68
50.0,0.379,0.38,0.38,0.381,0.38,0.374,0.359,0.338,0.314,0.293,0.278,0.27,0.267,0.339
60.0,0.342,0.342,0.342,0.341,0.34,0.336,0.325,0.309,0.29,0.272,0.26,0.252,0.25,0.309
70.0,0.346,0.344,0.343,0.342,0.34,0.337,0.328,0.314,0.295,0.278,0.265,0.257,0.255,0.312
100.0,0.443,0.443,0.443,0.443,0.442,0.438,0.426,0.409,0.388,0.369,0.354,0.346,0.343,0.408
150.0,0.698,0.698,0.698,0.699,0.7,0.698,0.686,0.666,0.637,0.608,0.586,0.573,0.569,0.657
200.0,0.99,0.987,0.987,0.987,0.988,0.987,0.971,0.943,0.906,0.87,0.845,0.828,0.823,0.934
500.0,2.67,2.67,2.67,2.67,2.68,2.68,2.65,2.6,2.53,2.47,2.42,2.39,2.38,2.58
662.0,3.49,3.49,3.49,3.49,3.49,3.49,3.46,3.41,3.33,3.26,3.2,3.17,3.16,3.38
1000.0,4.98,4.97,4.97,4.98,4.98,4.98,4.95,4.88,4.8,4.72,4.65,4.59,4.58,4.85
1250.0,5.93,5.93,5.94,5.95,5.96,5.95,5.92,5.84,5.75,5.66,5.59,5.55,5.54,5.82
1500.0,6.78,6.79,6.79,6.8,6.81,6.8,6.77,6.7,6.61,6.52,6.44,6.39,6.37,6.67
2000.0,8.31,8.32,8.32,8.32,8.34,8.33,8.3,8.23,8.12,8.02,7.95,7.92,7.92,8.19
3000.0,10.9,10.9,10.9,10.9,11.0,10.9,10.9,10.8,10.7,10.6,10.5,10.5,10.5,10.8
5000.0,15.3,15.4,15.4,15.4,15.4,15.3,15.3,15.2,15.1,15.0,14.9,14.8,14.8,15.2
10000.0,25.6,25.6,25.5,25.5,25.5,25.5,25.4,25.3,25.2,25.0,24.9,24.8,24.7,25.3
20000.0,46.8,46.8,46.8,46.6,46.5,46.5,46.5,46.4,46.1,45.8,45.6,45.5,45.4,46.3
30000.0,69.1,69.2,69.1,69.1,69.1,69.0,68.7,68.5,68.0,67.6,67.5,67.4,67.5,68.5
50000.0,119.0,119.0,119.0,119.0,119.0,119.0,118.0,117.0,116.0,116.0,115.0,114.0,115.0,117.0
