# Table A.1.1.a: Conversion coefficients from photon fluence to ambient dose
# Energy: keV ; h: pSv.cm2
# 
E,h
5.0,0.0134
6.0,0.0166
7.0,0.0225
8.0,0.0335
9.0,0.049
10.0,0.0685
12.0,0.105
13.0,0.122
15.0,0.156
17.0,0.181
20.0,0.225
25.0,0.275
30.0,0.312
40.0,0.35
50.0,0.369
60.0,0.389
70.0,0.411
80.0,0.443
100.0,0.518
150.0,0.747
200.0,1.0
300.0,1.51
400.0,2.0
500.0,2.47
511.0,2.52
600.0,2.91
662.0,3.17
800.0,3.73
1000.0,4.49
1117.0,4.9
1330.0,5.6
1500.0,6.12
2000.0,7.48
3000.0,9.75
4000.0,11.7
5000.0,13.4
6000.0,15.0
6129.0,15.2
8000.0,18.6
10000.0,22.1
15000.0,30.4
20000.0,38.2
30000.0,51.3
40000.0,61.8
50000.0,72.3
60000.0,82.1
80000.0,98.1
100000.0,110.0
150000.0,130.0
200000.0,144.0
300000.0,161.0
400000.0,173.0
500000.0,181.0
600000.0,187.0
800000.0,196.0
1000000.0,206.0
1500000.0,213.0
2000000.0,236.0
3000000.0,253.0
4000000.0,267.0
5000000.0,277.0
6000000.0,285.0
8000000.0,299.0
10000000.0,307.0
