E_keV,hp_0_pSv.cm2,hp_15,hp_30,hp_45,hp_60,hp_75,hp_90,hp_180,hp_ROT,hp_ISO,hp_SS-ISO,hp_IS-ISO
5.0,0.0134,0.0141,0.0139,0.013,0.0116,0.00937,0.00687,0.0133,0.0115,0.0104,0.0105,0.0102
6.0,0.0166,0.0179,0.0181,0.0171,0.0151,0.0119,0.00828,0.0159,0.0141,0.0128,0.0131,0.0125
7.0,0.0225,0.0243,0.0242,0.0225,0.0197,0.0151,0.00988,0.0178,0.0174,0.0158,0.0161,0.0153
8.0,0.0335,0.0348,0.0336,0.0303,0.0257,0.0193,0.012,0.0187,0.0216,0.0194,0.02,0.0187
9.0,0.049,0.0497,0.0462,0.0405,0.0335,0.0245,0.0148,0.0186,0.0273,0.0236,0.0245,0.0226
10.0,0.0685,0.0671,0.0613,0.0526,0.0425,0.0306,0.0186,0.0184,0.0337,0.0288,0.0301,0.0275
12.0,0.105,0.103,0.0938,0.0794,0.0624,0.0442,0.0267,0.0162,0.047,0.0395,0.0406,0.0375
13.0,0.122,0.12,0.109,0.093,0.0726,0.0509,0.031,0.0156,0.0532,0.0449,0.0458,0.0426
15.0,0.156,0.15,0.139,0.119,0.0928,0.064,0.0403,0.0155,0.0665,0.056,0.0577,0.0543
17.0,0.181,0.179,0.166,0.144,0.113,0.0772,0.0478,0.0175,0.0783,0.065,0.0654,0.0632
20.0,0.225,0.219,0.205,0.178,0.142,0.0977,0.0614,0.0261,0.0988,0.0813,0.0822,0.0802
25.0,0.275,0.271,0.255,0.226,0.183,0.129,0.0787,0.0564,0.13,0.104,0.105,0.101
30.0,0.312,0.307,0.289,0.255,0.209,0.152,0.0988,0.0946,0.159,0.127,0.129,0.125
40.0,0.35,0.34,0.324,0.29,0.242,0.184,0.126,0.163,0.199,0.158,0.162,0.154
50.0,0.369,0.359,0.344,0.307,0.264,0.2,0.145,0.209,0.226,0.18,0.184,0.176
60.0,0.389,0.382,0.364,0.326,0.281,0.219,0.162,0.243,0.248,0.198,0.204,0.194
70.0,0.411,0.406,0.387,0.348,0.3,0.238,0.178,0.273,0.273,0.218,0.223,0.209
80.0,0.443,0.436,0.418,0.375,0.33,0.263,0.197,0.302,0.297,0.238,0.246,0.232
100.0,0.518,0.512,0.485,0.45,0.395,0.318,0.24,0.363,0.356,0.286,0.295,0.279
150.0,0.747,0.745,0.71,0.655,0.584,0.487,0.369,0.543,0.529,0.429,0.445,0.413
200.0,1.0,0.995,0.954,0.888,0.801,0.673,0.518,0.745,0.722,0.589,0.61,0.568
300.0,1.51,1.5,1.45,1.36,1.24,1.07,0.839,1.16,1.12,0.932,0.964,0.9
400.0,2.0,1.98,1.94,1.82,1.68,1.45,1.18,1.58,1.53,1.28,1.32,1.24
500.0,2.47,2.44,2.39,2.27,2.12,1.84,1.51,1.99,1.92,1.63,1.67,1.59
600.0,2.91,2.89,2.85,2.69,2.52,2.21,1.84,2.39,2.31,1.97,2.02,1.92
800.0,3.73,3.73,3.65,3.52,3.3,2.93,2.49,3.14,3.04,2.62,2.7,2.54
1000.0,4.49,4.5,4.41,4.26,4.03,3.57,3.12,3.84,3.73,3.25,3.32,3.18
1500.0,6.12,6.11,6.04,5.86,5.6,5.16,4.55,5.41,5.24,4.67,4.74,4.58
2000.0,7.48,7.49,7.41,7.2,6.93,6.48,5.81,6.77,6.56,5.91,6.03,5.77
3000.0,9.75,9.81,9.65,9.53,9.33,8.69,8.03,9.13,8.85,8.08,8.22,7.94
4000.0,11.7,11.7,11.6,11.5,11.3,10.6,10.0,11.2,10.9,10.0,10.2,9.8
5000.0,13.4,13.4,13.3,13.2,13.2,12.5,11.8,13.2,12.7,11.8,12.0,11.6
6000.0,15.0,15.1,14.9,14.9,14.8,14.2,13.5,15.0,14.4,13.5,13.7,13.3
8000.0,17.8,18.0,17.9,17.9,18.0,17.3,16.8,18.6,17.6,16.6,16.9,16.3
10000.0,20.5,20.6,20.5,20.6,20.9,20.4,19.9,22.1,20.7,19.7,19.9,19.3
15000.0,26.1,26.4,26.4,26.7,27.3,27.2,27.2,30.4,27.7,26.8,26.8,26.2
20000.0,30.8,31.0,31.3,31.9,32.9,33.7,34.4,38.2,34.4,33.8,33.9,33.7
30000.0,37.9,38.2,38.7,40.3,42.6,44.9,47.7,51.3,46.0,46.1,46.1,46.1
40000.0,43.2,43.1,44.6,46.8,50.8,55.4,60.1,61.8,56.0,56.9,56.6,57.2
50000.0,47.1,47.0,48.6,52.1,57.1,63.7,71.0,70.1,64.3,66.1,65.8,66.6
60000.0,50.1,51.3,53.5,57.5,63.8,72.3,80.4,76.5,71.1,74.1,73.5,74.7
80000.0,54.5,55.7,58.4,63.3,71.6,82.8,95.5,86.2,81.8,87.1,85.5,88.9
100000.0,57.8,59.3,62.0,67.7,77.2,90.3,107.0,92.7,89.5,97.5,96.1,98.9
150000.0,63.2,64.6,67.5,75.2,86.7,103.0,126.0,103.0,102.0,116.0,115.0,118.0
200000.0,67.2,68.2,71.7,79.7,93.1,111.0,139.0,110.0,110.0,129.0,125.0,135.0
300000.0,72.3,74.0,76.9,86.4,101.0,121.0,155.0,118.0,121.0,147.0,140.0,154.0
400000.0,75.4,78.1,81.3,91.1,107.0,129.0,166.0,123.0,128.0,159.0,150.0,168.0
500000.0,77.4,78.6,82.7,92.6,110.0,133.0,174.0,127.0,132.0,167.0,158.0,178.0
600000.0,78.7,80.1,84.1,94.4,112.0,137.0,179.0,130.0,136.0,174.0,165.0,183.0
800000.0,80.4,82.2,86.2,97.0,116.0,142.0,187.0,134.0,141.0,185.0,174.0,196.0
1000000.0,81.6,83.5,87.9,99.5,118.0,146.0,193.0,137.0,145.0,193.0,180.0,206.0
