# Table A.3.1.a: Conversion coefficients from photon fluence to the maximum absorbed dose in the complete lens of the eye
# Energy: keV ; dlens: pGy.cm2
# 
E,dlens_0,dlens_15,dlens_30,dlens_45,dlens_60,dlens_75,dlens_90,dlens_ROT
5,8.61e-06,1.63e-05,3.47e-05,3.29e-05,1.35e-05,1.66e-06,6.9e-08,8.85e-06
6,0.002,0.00244,0.00297,0.00285,0.00148,0.000408,4.26e-05,0.000875
7,0.0374,0.0356,0.0367,0.0338,0.0202,0.00775,0.00175,0.0124
8,0.185,0.172,0.163,0.15,0.0981,0.047,0.0147,0.0581
9,0.475,0.441,0.413,0.377,0.266,0.15,0.0589,0.15
10,0.833,0.778,0.73,0.672,0.507,0.32,0.152,0.274
11,1.15,1.1,1.04,0.966,0.772,0.535,0.289,0.398
13,1.54,1.52,1.46,1.35,1.19,0.932,0.598,0.58
15,1.63,1.63,1.58,1.49,1.37,1.16,0.831,0.657
17,1.55,1.57,1.54,1.46,1.39,1.23,0.953,0.666
20,1.35,1.37,1.36,1.3,1.27,1.16,0.965,0.619
24,1.09,1.11,1.11,1.07,1.06,0.998,0.869,0.535
30,0.812,0.835,0.834,0.813,0.813,0.78,0.699,0.434
40,0.58,0.593,0.601,0.589,0.592,0.569,0.529,0.336
50,0.483,0.494,0.504,0.496,0.495,0.476,0.447,0.295
60,0.45,0.459,0.467,0.464,0.461,0.45,0.428,0.285
70,0.455,0.463,0.467,0.463,0.461,0.453,0.433,0.294
80,0.482,0.483,0.489,0.485,0.49,0.479,0.458,0.315
100,0.559,0.562,0.569,0.571,0.57,0.557,0.541,0.376
120,0.663,0.666,0.672,0.673,0.671,0.663,0.643,0.452
150,0.838,0.84,0.846,0.845,0.845,0.836,0.811,0.58
200,1.13,1.15,1.16,1.17,1.15,1.14,1.13,0.81
240,1.38,1.38,1.41,1.42,1.39,1.38,1.37,1.0
300,1.74,1.75,1.77,1.8,1.75,1.75,1.73,1.28
400,2.29,2.32,2.34,2.38,2.35,2.31,2.32,1.75
500,2.83,2.84,2.89,2.93,2.9,2.84,2.83,2.22
511,2.88,2.88,2.97,3.01,2.98,2.89,2.89,2.26
600,3.34,3.36,3.4,3.46,3.41,3.36,3.35,2.64
662,3.63,3.65,3.66,3.77,3.7,3.65,3.64,2.9
800,4.26,4.28,4.33,4.39,4.37,4.28,4.27,3.46
1000,5.06,5.09,5.14,5.27,5.21,5.08,5.12,4.2
1117,5.5,5.55,5.56,5.65,5.64,5.56,5.57,4.63
1200,5.83,5.84,5.86,5.98,5.95,5.82,5.92,4.87
1300,6.07,6.14,6.16,6.35,6.3,6.15,6.2,5.18
1330,6.16,6.26,6.26,6.4,6.45,6.29,6.29,5.25
1500,6.59,6.63,6.71,6.88,6.91,6.74,6.83,5.76
1700,6.92,6.93,7.08,7.25,7.4,7.23,7.37,6.2
2000,7.04,7.16,7.29,7.66,7.92,7.88,8.05,6.75
2400,6.84,6.93,7.24,7.84,8.47,8.64,8.74,7.32
3000,6.35,6.49,6.92,7.87,8.99,9.61,9.32,7.86
4000,5.62,5.85,6.43,7.67,9.64,10.9,11.0,8.63
5000,5.13,5.35,6.08,7.68,10.1,12.2,12.6,9.35
6000,4.82,5.05,5.87,7.6,10.7,13.4,14.0,9.99
6129,4.79,5.06,5.76,7.62,10.8,13.4,14.3,10.1
8000,4.42,4.67,5.52,7.47,11.6,15.6,17.1,11.4
10000,4.17,4.38,5.19,7.16,12.2,17.6,19.5,12.7
15000,3.97,4.16,4.78,6.58,12.5,20.8,25.7,15.8
20000,3.94,4.08,4.6,6.15,12.4,22.9,30.9,18.9
30000,4.01,4.12,4.58,5.84,11.9,24.6,37.9,24.5
40000,4.09,4.18,4.68,5.69,11.7,25.5,42.2,29.5
50000,4.16,4.32,4.71,5.7,11.6,26.4,45.3,33.6
