E_keV,dskin_slab_0_pGy.cm2,dskin_slab_15,dskin_slab_30,dskin_slab_45,dskin_slab_60,dskin_slab_75
2.0,2.94,2.59,1.67,0.673,0.11,0.00205
3.0,20.8,19.8,16.9,12.0,5.71,0.873
4.0,26.2,25.7,23.8,20.4,14.3,5.2
5.0,22.7,22.4,21.6,19.9,16.5,9.14
7.0,14.0,14.0,13.7,13.3,12.4,9.81
10.0,7.2,7.17,7.14,7.04,6.89,6.38
15.0,3.22,3.2,3.19,3.17,3.14,3.04
20.0,1.85,1.83,1.81,1.8,1.79,1.73
30.0,0.935,0.924,0.918,0.905,0.889,0.824
40.0,0.636,0.647,0.63,0.625,0.6,0.545
50.0,0.543,0.546,0.523,0.526,0.481,0.449
60.0,0.51,0.506,0.491,0.485,0.451,0.425
70.0,0.52,0.514,0.504,0.487,0.474,0.448
80.0,0.55,0.531,0.539,0.524,0.499,0.463
100.0,0.617,0.609,0.616,0.621,0.581,0.563
150.0,0.921,0.904,0.927,0.895,0.888,0.866
200.0,1.2,1.21,1.24,1.19,1.23,1.2
300.0,1.28,1.34,1.41,1.46,1.62,1.69
400.0,1.23,1.29,1.34,1.49,1.75,1.87
500.0,1.13,1.16,1.27,1.49,1.8,2.07
600.0,1.08,1.11,1.24,1.47,1.82,2.25
662.0,1.03,1.08,1.25,1.41,1.82,2.26
800.0,0.946,0.989,1.12,1.41,1.81,2.4
1000.0,0.852,0.887,1.03,1.33,1.82,2.62
1250.0,0.735,0.798,0.972,1.23,1.77,2.65
1500.0,0.659,0.706,0.905,1.23,1.8,2.78
2000.0,0.574,0.623,0.774,1.05,1.74,2.98
3000.0,0.446,0.466,0.648,0.971,1.71,3.17
5000.0,0.334,0.357,0.485,0.733,1.59,3.44
10000.0,0.288,0.305,0.377,0.588,1.23,3.72
15000.0,0.267,0.28,0.333,0.502,1.14,3.78
20000.0,0.259,0.258,0.3,0.496,1.12,3.93
30000.0,0.243,0.238,0.303,0.416,0.971,4.14
50000.0,0.213,0.201,0.282,0.386,0.826,3.78
