# Table A.4.1.1.a: Conversion coefficients from photon fluence to directional and personal absorbed dose in local skin on the slab phantom
# Energy: keV ; dskin_slab: Gy/Gy
# For energy below 10 keV, data taken from Table A.4.1.2b (pillar phantom)
E,dskin_slab_0,dskin_slab_15,dskin_slab_30,dskin_slab_45,dskin_slab_60,dskin_slab_75
2,0.018,0.0158,0.0102,0.00411,0.00067,1.25e-05
3,0.276,0.264,0.224,0.159,0.0759,0.0116
4,0.55,0.539,0.501,0.428,0.301,0.109
5,0.74,0.731,0.704,0.648,0.538,0.298
7,0.904,0.901,0.887,0.86,0.802,0.633
10,0.973,0.969,0.965,0.951,0.931,0.862
15,1.03,1.02,1.02,1.01,1.0,0.973
20,1.1,1.09,1.07,1.07,1.06,1.03
30,1.3,1.28,1.27,1.25,1.23,1.14
40,1.48,1.51,1.47,1.46,1.4,1.27
50,1.68,1.69,1.62,1.63,1.49,1.39
60,1.77,1.75,1.7,1.68,1.56,1.47
70,1.81,1.79,1.75,1.69,1.65,1.56
80,1.79,1.73,1.76,1.71,1.63,1.51
100,1.66,1.64,1.66,1.67,1.56,1.52
150,1.54,1.51,1.55,1.49,1.48,1.44
200,1.4,1.41,1.45,1.39,1.44,1.4
300,0.926,0.969,1.02,1.06,1.17,1.22
400,0.65,0.682,0.708,0.788,0.925,0.988
500,0.475,0.488,0.534,0.626,0.757,0.87
600,0.38,0.39,0.436,0.517,0.64,0.791
662,0.331,0.347,0.402,0.453,0.585,0.726
800,0.256,0.267,0.303,0.381,0.489,0.648
1000,0.19,0.198,0.23,0.297,0.406,0.585
1250,0.138,0.15,0.182,0.231,0.332,0.497
1500,0.107,0.115,0.147,0.2,0.293,0.452
2000,0.076,0.0824,0.102,0.139,0.23,0.394
3000,0.0447,0.0467,0.0649,0.0973,0.171,0.318
5000,0.0236,0.0252,0.0342,0.0517,0.112,0.243
10000,0.0119,0.0126,0.0156,0.0244,0.051,0.154
15000,0.00775,0.00813,0.00966,0.0146,0.0331,0.11
20000,0.00571,0.00569,0.00661,0.0109,0.0247,0.0866
30000,0.00354,0.00347,0.00442,0.00607,0.0142,0.0604
50000,0.00179,0.00169,0.00237,0.00324,0.00693,0.0317
