# Table A.4.1.2b: Conversion coefficients from photon kerma to personal absorbed dose in local skin on the pillar phantom
# Energy: keV ; dskin_pillar: Gy/Gy
# 
E,dskin_pillar_0,dskin_pillar_15,dskin_pillar_30,dskin_pillar_45,dskin_pillar_60,dskin_pillar_75,dskin_pillar_90,dskin_pillar_105,dskin_pillar_120,dskin_pillar_135,dskin_pillar_150,dskin_pillar_165,dskin_pillar_180,dskin_pillar_ROT
2,0.018,0.0158,0.0102,0.00411,0.00067,1.25e-05,2e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.00332
3,0.276,0.264,0.224,0.159,0.0759,0.0116,3.36e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0727
4,0.55,0.539,0.501,0.428,0.301,0.109,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.18
5,0.74,0.731,0.704,0.648,0.538,0.298,0.0181,0.0,0.0,0.0,0.0,0.0,0.0,0.276
7,0.904,0.901,0.887,0.86,0.802,0.633,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.388
10,0.974,0.975,0.969,0.965,0.938,0.861,0.33,0.00056,0.0,0.0,0.0,0.0,0.0,0.461
15,1.03,1.03,1.03,1.02,1.02,0.986,0.639,0.0621,0.00341,0.000273,4.87e-05,2.84e-05,1.22e-05,0.526
20,1.1,1.09,1.1,1.09,1.07,1.05,0.835,0.262,0.0685,0.0231,0.00966,0.00624,0.00478,0.597
30,1.24,1.25,1.25,1.23,1.23,1.2,1.07,0.64,0.367,0.233,0.172,0.138,0.137,0.79
50,1.44,1.45,1.41,1.43,1.41,1.39,1.31,1.0,0.715,0.575,0.492,0.444,0.416,1.05
70,1.46,1.46,1.45,1.43,1.44,1.43,1.35,1.07,0.836,0.687,0.579,0.526,0.519,1.1
100,1.37,1.38,1.38,1.37,1.37,1.38,1.33,1.07,0.851,0.708,0.609,0.585,0.565,1.08
150,1.3,1.3,1.29,1.29,1.31,1.33,1.29,1.06,0.875,0.737,0.665,0.608,0.593,1.06
200,1.2,1.22,1.23,1.24,1.26,1.29,1.25,1.07,0.884,0.754,0.684,0.629,0.616,1.04
300,0.801,0.814,0.862,0.927,1.02,1.11,1.14,1.03,0.876,0.782,0.71,0.684,0.675,0.891
500,0.396,0.408,0.457,0.538,0.658,0.797,0.911,0.892,0.832,0.777,0.733,0.706,0.693,0.688
662,0.263,0.276,0.316,0.397,0.506,0.656,0.794,0.82,0.795,0.758,0.734,0.714,0.702,0.604
700,0.246,0.255,0.298,0.371,0.488,0.636,0.775,0.813,0.785,0.752,0.727,0.71,0.708,0.591
1000,0.148,0.158,0.186,0.243,0.357,0.504,0.665,0.745,0.75,0.732,0.723,0.71,0.712,0.518
1250,0.108,0.114,0.142,0.206,0.3,0.441,0.617,0.703,0.741,0.737,0.733,0.735,0.728,0.491
1500,0.0868,0.093,0.119,0.159,0.254,0.399,0.574,0.687,0.728,0.732,0.727,0.721,0.731,0.467
2000,0.0582,0.0613,0.0801,0.121,0.197,0.34,0.528,0.658,0.723,0.745,0.742,0.744,0.752,0.445
3000,0.0325,0.0357,0.0497,0.0765,0.138,0.262,0.47,0.639,0.721,0.764,0.769,0.764,0.769,0.424
5000,0.0177,0.0194,0.0257,0.0397,0.076,0.175,0.39,0.629,0.733,0.78,0.797,0.803,0.804,0.407
7000,0.0111,0.0128,0.0161,0.0257,0.0492,0.12,0.333,0.589,0.733,0.789,0.808,0.819,0.821,0.392
10000,0.00854,0.00805,0.00939,0.0155,0.0309,0.075,0.245,0.53,0.71,0.788,0.818,0.83,0.837,0.374
15000,0.00525,0.00536,0.00613,0.0088,0.0155,0.0398,0.158,0.419,0.633,0.757,0.81,0.825,0.829,0.341
20000,0.00337,0.0034,0.0042,0.00545,0.01,0.0254,0.112,0.331,0.535,0.675,0.752,0.787,0.794,0.303
30000,0.00217,0.00216,0.00231,0.00327,0.00544,0.0135,0.0681,0.231,0.395,0.522,0.602,0.647,0.661,0.235
50000,0.000933,0.000927,0.00122,0.00148,0.00255,0.0063,0.0367,0.143,0.257,0.349,0.413,0.451,0.464,0.158
