# Table A.4.1.2a: Conversion coefficients from photon fluence to personal absorbed dose in local skin on the rod phantom
# Energy: keV ; dskin_rod: pGy.cm2
# 
E,dskin_rod_0,dskin_rod_15,dskin_rod_30,dskin_rod_45,dskin_rod_60,dskin_rod_75,dskin_rod_90,dskin_rod_105,dskin_rod_120,dskin_rod_135,dskin_rod_150,dskin_rod_165,dskin_rod_180,dskin_rod_ROT
2,2.54,2.28,1.63,0.908,0.362,0.0854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.545
3,19.7,18.7,15.8,11.4,6.66,2.91,0.739,0.0471,0.0,0.0,0.0,0.0,0.0,5.51
4,25.6,24.9,22.9,19.0,13.2,7.36,2.84,0.455,0.0,0.0,0.0,0.0,0.0,8.62
5,22.4,22.1,21.0,18.8,14.5,9.19,4.35,1.08,0.0193,0.0,0.0,0.0,0.0,8.52
7,13.9,13.8,13.6,13.0,11.4,8.19,4.71,1.77,0.17,0.0,0.0,0.0,0.0,6.13
10,7.22,7.21,7.17,7.06,6.68,5.44,3.65,1.85,0.505,0.0554,0.0,0.0,0.0,3.6
15,3.23,3.22,3.21,3.18,3.11,2.83,2.29,1.61,0.941,0.497,0.291,0.206,0.184,1.93
20,1.8,1.8,1.8,1.79,1.77,1.69,1.5,1.24,0.95,0.716,0.572,0.497,0.473,1.29
30,0.814,0.814,0.813,0.809,0.803,0.784,0.741,0.677,0.602,0.534,0.486,0.458,0.449,0.679
50,0.383,0.382,0.381,0.379,0.377,0.371,0.358,0.339,0.316,0.295,0.279,0.269,0.266,0.339
60,0.343,0.343,0.343,0.342,0.341,0.337,0.326,0.309,0.289,0.272,0.259,0.251,0.248,0.309
70,0.344,0.344,0.344,0.344,0.343,0.339,0.329,0.314,0.296,0.278,0.265,0.257,0.255,0.313
100,0.436,0.436,0.436,0.436,0.436,0.433,0.424,0.408,0.389,0.37,0.356,0.347,0.344,0.405
150,0.693,0.693,0.694,0.696,0.697,0.693,0.679,0.657,0.63,0.605,0.585,0.571,0.566,0.653
200,0.951,0.953,0.957,0.964,0.973,0.974,0.959,0.933,0.895,0.861,0.839,0.827,0.825,0.919
300,1.02,1.04,1.1,1.18,1.28,1.37,1.42,1.44,1.43,1.4,1.37,1.35,1.34,1.3
500,0.871,0.905,1.01,1.19,1.44,1.7,1.94,2.11,2.2,2.24,2.25,2.24,2.24,1.73
662,0.767,0.808,0.936,1.16,1.48,1.86,2.22,2.5,2.69,2.79,2.83,2.85,2.85,1.99
700,0.749,0.79,0.919,1.15,1.48,1.88,2.27,2.59,2.79,2.91,2.96,2.98,2.99,2.05
1000,0.619,0.665,0.81,1.08,1.51,2.06,2.65,3.17,3.54,3.77,3.89,3.95,3.97,2.45
1250,0.534,0.579,0.728,1.02,1.5,2.16,2.9,3.57,4.08,4.39,4.57,4.65,4.68,2.73
1500,0.472,0.516,0.663,0.964,1.48,2.23,3.09,3.92,4.56,4.97,5.19,5.3,5.33,2.98
2000,0.389,0.428,0.562,0.855,1.41,2.29,3.39,4.5,5.41,6.0,6.33,6.49,6.53,3.43
3000,0.292,0.32,0.427,0.674,1.21,2.22,3.65,5.27,6.71,7.73,8.31,8.59,8.67,4.13
5000,0.204,0.223,0.29,0.456,0.871,1.82,3.45,5.6,7.86,9.76,11.1,11.8,12.0,4.94
10000,0.133,0.143,0.179,0.27,0.529,1.27,2.75,4.93,7.5,9.93,11.8,13.0,13.4,4.92
15000,0.109,0.117,0.144,0.213,0.423,1.1,2.53,4.72,7.37,9.92,11.9,13.2,13.6,4.88
20000,0.0985,0.105,0.128,0.187,0.373,1.02,2.45,4.68,7.41,10.1,12.2,13.5,14.0,4.93
30000,0.0876,0.0932,0.113,0.162,0.328,0.965,2.43,4.76,7.67,10.5,12.8,14.3,14.8,5.13
50000,0.0812,0.0856,0.102,0.146,0.3,0.953,2.51,5.02,8.2,11.4,13.9,15.5,16.1,5.51
