# Table A.5.1.b: Conversion coefficients from photon kerma to ambient dose calculated using kerma-approximation
# Energy: keV ; h*: Sv/Gy
# For energy below 10.0 keV, data taken from Table A.1.1b (full transport)
E,h
5.0,0.000437
6.0,0.000781
7.0,0.00145
8.0,0.00284
9.0,0.00531
10.0,0.00912
15.0,0.0489
20.0,0.132
30.0,0.43
40.0,0.805
50.0,1.13
60.0,1.33
70.0,1.43
80.0,1.44
100.0,1.4
150.0,1.25
200.0,1.16
300.0,1.09
400.0,1.06
500.0,1.04
600.0,1.02
800.0,1.01
1000.0,1.0
1500.0,0.998
2000.0,0.997
3000.0,1.0
4000.0,1.0
5000.0,1.0
6000.0,0.997
8000.0,0.989
10000.0,0.982
15000.0,0.965
20000.0,0.952
30000.0,0.934
40000.0,0.925
50000.0,0.917
