# Table A.5.3.a. Conversion coefficients from photons fluence to the maximum absorbed dose in the complete lens of the eye using the kerma-approximation method
# Energy: keV ; dlens: pGy.cm2
# 
E,dlens_0,dlens_15,dlens_30,dlens_45,dlens_60,dlens_75,dlens_90,dlens_ROT
5.0,8.43e-06,1.56e-05,3.25e-05,3.23e-05,1.2e-05,1.59e-06,8.8e-08,6.67e-06
6.0,0.00201,0.00234,0.00297,0.00276,0.00146,0.000383,4.32e-05,0.000842
7.0,0.0347,0.0355,0.0365,0.0319,0.0203,0.00795,0.00144,0.0115
8.0,0.173,0.172,0.164,0.141,0.0978,0.0472,0.0135,0.0545
9.0,0.449,0.44,0.412,0.356,0.267,0.151,0.0548,0.144
10.0,0.796,0.778,0.73,0.644,0.508,0.322,0.139,0.263
11.0,1.12,1.1,1.04,0.934,0.772,0.536,0.27,0.387
13.0,1.54,1.52,1.46,1.35,1.19,0.934,0.579,0.575
15.0,1.65,1.63,1.58,1.5,1.38,1.16,0.829,0.66
17.0,1.58,1.57,1.54,1.48,1.39,1.23,0.958,0.673
20.0,1.38,1.38,1.36,1.32,1.27,1.17,0.982,0.628
24.0,1.11,1.12,1.11,1.09,1.06,0.999,0.887,0.546
30.0,0.832,0.836,0.839,0.832,0.811,0.778,0.717,0.441
40.0,0.587,0.595,0.596,0.596,0.59,0.571,0.535,0.34
50.0,0.488,0.49,0.498,0.499,0.495,0.479,0.453,0.298
60.0,0.455,0.456,0.464,0.467,0.462,0.446,0.427,0.286
70.0,0.456,0.462,0.466,0.467,0.464,0.452,0.434,0.295
80.0,0.481,0.487,0.491,0.49,0.488,0.478,0.46,0.315
100.0,0.559,0.562,0.572,0.571,0.565,0.559,0.541,0.377
120.0,0.664,0.667,0.673,0.674,0.672,0.666,0.644,0.452
150.0,0.835,0.839,0.846,0.85,0.845,0.839,0.819,0.581
200.0,1.13,1.14,1.15,1.17,1.15,1.15,1.13,0.817
240.0,1.38,1.39,1.4,1.41,1.39,1.38,1.37,1.0
300.0,1.74,1.74,1.76,1.79,1.75,1.75,1.73,1.29
400.0,2.3,2.34,2.34,2.37,2.34,2.32,2.29,1.75
500.0,2.82,2.85,2.88,2.93,2.9,2.84,2.85,2.21
511.0,2.88,2.9,2.94,2.99,2.96,2.9,2.91,2.25
600.0,3.33,3.35,3.39,3.45,3.42,3.35,3.36,2.64
662.0,3.63,3.65,3.69,3.77,3.72,3.65,3.65,2.91
800.0,4.24,4.28,4.3,4.39,4.38,4.28,4.29,3.46
1000.0,5.08,5.1,5.15,5.25,5.23,5.13,5.12,4.21
1117.0,5.54,5.57,5.63,5.69,5.68,5.55,5.56,4.63
1200.0,5.83,5.91,5.94,5.99,5.96,5.89,5.88,4.92
1300.0,6.2,6.21,6.27,6.37,6.36,6.22,6.25,5.24
1330.0,6.29,6.31,6.37,6.46,6.44,6.34,6.34,5.36
1500.0,6.88,6.9,6.92,7.04,7.05,6.86,6.9,5.86
1700.0,7.49,7.53,7.58,7.67,7.65,7.49,7.54,6.48
2000.0,8.39,8.39,8.44,8.56,8.53,8.41,8.37,7.25
2400.0,9.44,9.49,9.5,9.63,9.64,9.48,9.53,8.33
3000.0,11.0,11.0,11.0,11.1,11.1,11.0,10.9,9.77
4000.0,13.2,13.2,13.3,13.3,13.3,13.2,13.2,11.9
5000.0,15.3,15.3,15.4,15.4,15.5,15.3,15.3,13.9
6000.0,17.4,17.4,17.4,17.5,17.5,17.4,17.4,15.9
6129.0,17.6,17.7,17.7,17.8,17.8,17.6,17.6,16.1
8000.0,21.5,21.4,21.5,21.5,21.5,21.4,21.3,19.4
10000.0,25.4,25.4,25.5,25.4,25.4,25.3,25.4,23.5
15000.0,35.7,35.8,35.6,35.6,35.7,35.5,35.6,32.8
20000.0,46.3,46.6,46.5,46.6,46.4,46.3,46.2,43.0
30000.0,69.2,69.1,69.3,69.1,69.4,69.1,68.6,63.9
40000.0,93.0,93.5,93.3,92.8,93.2,93.2,92.3,86.3
50000.0,118.0,119.0,119.0,118.0,118.0,118.0,118.0,109.0
