# Table A.4.1.1.a: Conversion coefficients from photon fluence to directional and personal absorbed dose in local skin on the slab phantom
# Energy: keV ; dskin_slab: pGy.cm2
# For energy below 10.0 keV, data taken from Table A.5.4.2a (pillar phantom)
E,dskin_slab_0,dskin_slab_15,dskin_slab_30,dskin_slab_45,dskin_slab_60,dskin_slab_75
2.0,2.95,2.58,1.67,0.677,0.109,0.00216
3.0,20.8,19.9,16.9,12.0,5.71,0.87
4.0,26.2,25.7,23.9,20.4,14.3,5.19
5.0,22.6,22.4,21.6,19.8,16.4,9.14
7.0,14.0,13.9,13.8,13.4,12.4,9.83
10.0,7.16,7.15,7.13,7.04,6.89,6.38
15.0,3.2,3.19,3.19,3.17,3.14,3.05
20.0,1.84,1.83,1.83,1.82,1.8,1.75
30.0,0.928,0.926,0.921,0.908,0.883,0.834
40.0,0.647,0.645,0.64,0.626,0.601,0.552
50.0,0.543,0.54,0.535,0.521,0.497,0.452
60.0,0.51,0.508,0.502,0.49,0.467,0.424
70.0,0.515,0.512,0.507,0.495,0.472,0.433
80.0,0.54,0.538,0.533,0.522,0.501,0.462
100.0,0.625,0.624,0.621,0.611,0.592,0.554
150.0,0.914,0.913,0.915,0.909,0.897,0.861
200.0,1.23,1.23,1.23,1.23,1.23,1.2
300.0,1.84,1.84,1.86,1.87,1.89,1.87
400.0,2.42,2.42,2.44,2.46,2.5,2.51
500.0,2.96,2.96,2.99,3.02,3.07,3.11
600.0,3.47,3.47,3.5,3.54,3.61,3.66
662.0,3.77,3.78,3.81,3.84,3.92,4.0
800.0,4.4,4.41,4.44,4.49,4.58,4.69
1000.0,5.24,5.25,5.29,5.34,5.45,5.58
1250.0,6.18,6.19,6.23,6.28,6.4,6.57
1500.0,7.03,7.03,7.08,7.13,7.26,7.46
2000.0,8.55,8.54,8.59,8.64,8.79,9.01
3000.0,11.1,11.1,11.2,11.2,11.3,11.6
5000.0,15.5,15.5,15.6,15.6,15.7,16.0
10000.0,25.7,25.7,25.7,25.7,25.8,26.0
15000.0,36.0,35.9,36.0,36.0,36.1,36.2
20000.0,46.7,46.7,46.8,46.7,46.9,47.0
30000.0,69.6,69.5,69.7,69.6,69.7,69.7
50000.0,119.0,119.0,119.0,119.0,119.0,119.0
