# Table A.5.4.2a: Conversion coefficients from photon fluence to personal absorbed dose in local skin on the pillar phantom using the kerma-approximation
# Energy: keV ; dskin_pillar: pGy.cm2
# 
E,dskin_pillar_0,dskin_pillar_15,dskin_pillar_30,dskin_pillar_45,dskin_pillar_60,dskin_pillar_75,dskin_pillar_90,dskin_pillar_105,dskin_pillar_120,dskin_pillar_135,dskin_pillar_150,dskin_pillar_165,dskin_pillar_180,dskin_pillar_ROT
2.0,2.95,2.58,1.67,0.677,0.109,0.00216,2.33e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.543
3.0,20.8,19.9,16.9,12.0,5.71,0.87,0.00259,0.0,0.0,0.0,0.0,0.0,0.0,5.48
4.0,26.2,25.7,23.9,20.4,14.3,5.19,0.0966,0.0,0.0,0.0,0.0,0.0,0.0,8.56
5.0,22.6,22.4,21.6,19.8,16.4,9.14,0.554,0.0,0.0,0.0,0.0,0.0,0.0,8.44
7.0,14.0,13.9,13.8,13.4,12.4,9.83,1.84,0.0,0.0,0.0,0.0,0.0,0.0,6.01
10.0,7.23,7.2,7.2,7.12,6.93,6.37,2.44,0.0046,0.0,0.0,0.0,0.0,0.0,3.41
15.0,3.22,3.23,3.22,3.19,3.17,3.09,1.99,0.194,0.0117,0.000812,0.000139,2.81e-05,3.28e-05,1.64
20.0,1.84,1.85,1.84,1.84,1.82,1.78,1.41,0.44,0.117,0.0379,0.0171,0.0102,0.00785,1.01
30.0,0.907,0.904,0.899,0.893,0.879,0.867,0.77,0.461,0.268,0.167,0.125,0.102,0.0923,0.57
50.0,0.464,0.471,0.459,0.468,0.459,0.459,0.428,0.323,0.235,0.185,0.149,0.135,0.141,0.339
70.0,0.422,0.418,0.419,0.412,0.413,0.413,0.389,0.311,0.239,0.196,0.17,0.152,0.152,0.318
100.0,0.519,0.514,0.518,0.514,0.507,0.512,0.489,0.401,0.32,0.263,0.235,0.213,0.212,0.404
150.0,0.787,0.787,0.786,0.789,0.789,0.795,0.769,0.647,0.527,0.451,0.394,0.367,0.353,0.639
200.0,1.08,1.09,1.09,1.09,1.09,1.11,1.07,0.914,0.748,0.649,0.583,0.541,0.537,0.898
300.0,1.68,1.67,1.67,1.68,1.7,1.72,1.69,1.46,1.26,1.12,0.994,0.948,0.945,1.43
500.0,2.78,2.78,2.77,2.8,2.82,2.85,2.85,2.54,2.23,2.0,1.88,1.81,1.74,2.47
662.0,3.62,3.57,3.55,3.61,3.66,3.65,3.66,3.33,2.93,2.68,2.52,2.45,2.35,3.22
700.0,3.77,3.77,3.75,3.78,3.85,3.83,3.85,3.49,3.11,2.84,2.67,2.56,2.51,3.39
1000.0,5.13,5.03,5.02,5.06,5.15,5.21,5.2,4.72,4.38,3.93,3.79,3.74,3.67,4.64
1250.0,6.0,5.99,5.97,6.0,6.07,6.18,6.14,5.65,5.29,4.93,4.71,4.5,4.45,5.56
1500.0,6.96,6.86,6.83,6.92,6.97,6.98,6.94,6.53,6.07,5.71,5.58,5.36,5.41,6.41
2000.0,8.38,8.3,8.31,8.24,8.36,8.79,8.34,8.09,7.43,7.14,6.83,6.8,6.66,7.85
3000.0,11.0,11.1,11.1,10.9,11.2,11.2,10.8,10.7,10.2,9.51,9.51,9.05,9.23,10.4
5000.0,15.8,15.3,15.1,15.4,15.6,15.0,15.5,15.2,14.6,13.8,13.4,13.4,13.4,14.8
7000.0,19.6,19.4,19.5,19.6,19.5,19.3,19.4,18.7,18.1,17.4,17.9,17.0,17.1,18.7
10000.0,25.6,25.6,25.8,25.5,25.1,25.2,25.4,24.7,24.4,23.8,22.8,22.9,22.7,24.6
15000.0,37.1,35.5,35.3,36.5,36.1,36.5,36.1,34.9,34.2,33.2,31.5,32.7,31.8,34.8
20000.0,48.5,45.3,46.7,47.3,46.4,47.1,47.1,45.4,44.7,42.8,42.6,41.5,41.9,45.1
30000.0,71.6,69.2,69.5,70.8,69.8,69.5,69.1,66.4,64.9,65.0,64.0,64.1,61.4,67.3
50000.0,120.0,119.0,119.0,122.0,120.0,119.0,120.0,114.0,112.0,110.0,106.0,103.0,103.0,115.0
