# Table A.6: Conversion coefficients from photon fluence to air kerma
# Energy: keV ; k: pGy.cm2
# 
E,k
2.0,163.7
3.0,75.32
4.0,47.62
5.0,30.65
6.0,21.25
7.0,15.5
8.0,11.79
9.0,9.221
10.0,7.4
11.0,6.043
12.0,5.022
13.0,4.236
15.0,3.125
17.0,2.388
20.0,1.684
24.0,1.15
25.0,1.056
30.0,0.7217
40.0,0.4289
50.0,0.3229
60.0,0.2889
70.0,0.2878
80.0,0.3067
100.0,0.3714
120.0,0.4606
150.0,0.5994
200.0,0.8567
240.0,1.062
300.0,1.383
400.0,1.892
500.0,2.379
511.0,2.431
600.0,2.844
662.0,3.112
700.0,3.275
800.0,3.702
1000.0,4.481
1117.0,4.884
1200.0,5.165
1250.0,5.332
1300.0,5.498
1330.0,5.596
1500.0,6.147
1700.0,6.725
2000.0,7.557
2400.0,8.563
3000.0,9.977
4000.0,12.14
5000.0,14.18
6000.0,16.17
6129.0,16.44
7000.0,18.19
8000.0,20.13
10000.0,24.13
15000.0,34.46
20000.0,45.36
30000.0,68.59
40000.0,93.29
50000.0,119.2
